bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
374.38,0,4,10.33,63,1761468800491.622,edge1,1
1269.45,0,7,9,59,1761468801491.7,edge1,1
1207.89,0,9,9.6,61,1761468802491.659,edge1,1
1444.68,0,7,9.6,60,1761468803491.169,edge1,1
1329.23,0,8,9.6,59,1761468804491.447,edge1,1
1254.84,0,5,8.67,61,1761468805491.234,edge1,1
1260.6,0,7,8.67,60,1761468806491.302,edge1,1
1055.79,0,5,8,60,1761468807492.38,edge1,1
15964.51,0,7,8,58,1761468808491.522,edge1,1
8634.16,0,8,8,59,1761468809491.52,edge1,1
615.05,0,8,7.5,61,1761468810491.514,edge1,1
408.84,0,7,7.5,60,1761468811491.7,edge1,1
2793.75,0,10,7.5,59,1761468812492.897,edge1,1
12011.54,0,8,7.56,61,1761468813495.403,edge1,1
4557.82,0,5,7.56,61,1761468814491.278,edge1,2
4303.95,0,6,7.3,59,1761468815493.33,edge1,2
5485.07,0,8,7.3,59,1761468816491.581,edge1,2
4399.37,0,6,7.3,61,1761468817491.161,edge1,2
4340.73,0,7,7.09,60,1761468818491.522,edge1,2
5147.79,0,9,7.09,59,1761468819492.774,edge1,2
5161.58,0,8,7.09,60,1761468820491.596,edge1,2
6241.77,0,8,7.42,60,1761468821491.677,edge1,2
7107.48,0,6,7.42,60,1761468822491.79,edge1,2
6836.32,0,9,7.92,59,1761468823493.748,edge1,2
6820.85,0,8,7.92,60,1761468824492.963,edge1,2
6109.38,0,9,7.92,58,1761468825498.317,edge1,2
5690.38,0,7,7.93,61,1761468826491.283,edge1,2
5613.43,0,11,7.93,60,1761468827492.419,edge1,2
6013.42,0,10,7.93,58,1761468828494.493,edge1,2
5662.13,0,8,9.2,59,1761468829493.154,edge1,2
5596.39,0,9,9.2,60,1761468830491.834,edge1,2
5756.82,0,7,8.81,59,1761468831491.741,edge1,2
5837.8,0,8,8.81,58,1761468832493.311,edge1,2
5522.29,0,9,8.81,62,1761468833494.649,edge1,2
5757.56,0,9,9.18,60,1761468834492.107,edge1,2
5911.49,0,13,9.18,57,1761468835493.389,edge1,2
5657.16,0,10,9.18,61,1761468836491.753,edge1,2
5953.97,0,7,9.33,60,1761468837491.2,edge1,2
6759.88,0,9,9.33,60,1761468838491.596,edge1,2
6288.91,0,10,10.11,58,1761468839494.63,edge1,2
6116.9,0,9,10.11,62,1761468840491.439,edge1,2
5809.32,0,10,10.11,58,1761468841492.571,edge1,2
5648.39,0,10,10.85,60,1761468842491.348,edge1,2
5114.8,0,9,10.85,61,1761468843491.656,edge1,2
4972.41,0,9,10.85,59,1761468844493.513,edge1,2
4380.24,0,12,11.1,61,1761468845491.359,edge1,2
2761.23,0,8,11.1,60,1761468846491.351,edge1,2
2690.69,0,8,11.36,60,1761468847492.586,edge1,2
3280.95,0,9,11.36,60,1761468848493.589,edge1,2
3288.02,0,8,11.36,59,1761468849496.109,edge1,2
3021.55,0,9,11.26,60,1761468850496.422,edge1,2
3507.7,0,9,11.26,59,1761468851492.953,edge1,2
3683.28,0,8,11.83,61,1761468852491.81,edge1,2
3957.3,0,9,11.83,60,1761468853491.501,edge1,2
4389.8,0,8,11.83,59,1761468854492.481,edge1,2
5061.69,0,7,12.12,60,1761468855491.729,edge1,2
4562.09,0,7,12.12,59,1761468856493.379,edge1,2
4531.67,0,7,12.12,60,1761468857497.507,edge1,2
4802.1,0,9,12.38,59,1761468858493.898,edge1,2
4168.9,0,7,12.38,60,1761468859492.634,edge1,2
3217.44,0,9,12.15,59,1761468860496.679,edge1,2
2977.06,0,9,12.15,61,1761468861491.513,edge1,2
3063.59,0,6,12.15,59,1761468862494.536,edge1,2
3633.18,0,8,12.25,60,1761468863492.199,edge1,2
4703.98,0,7,12.25,60,1761468864491.295,edge1,2
4962.88,0,9,12.25,60,1761468865495.169,edge1,2
4987.21,0,8,12.21,59,1761468866491.638,edge1,2
5135.16,0,11,12.21,59,1761468867493.373,edge1,2
4598.36,0,10,12.33,61,1761468868491.988,edge1,2
5070.23,0,7,12.33,61,1761468869494.689,edge1,2
4680.22,0,6,12.33,59,1761468870492.439,edge1,2
4576.89,0,8,12.45,60,1761468871491.424,edge1,2
4547.46,0,7,12.45,61,1761468872491.449,edge1,2
4303.54,0,7,12.45,59,1761468873491.285,edge1,2
3935.91,0,7,12.56,60,1761468874493.952,edge1,2
4621.16,0,8,12.56,61,1761468875492.567,edge1,2
3529.93,0,11,12.61,59,1761468876491.636,edge1,2
3267.84,0,9,12.61,60,1761468877493.655,edge1,2
3422.6,0,9,12.61,61,1761468878492.998,edge1,2
4547.91,0,9,12.53,60,1761468879492.889,edge1,2
7057.31,0,8,12.53,60,1761468880491.808,edge1,2
8002.8,0,9,12.53,58,1761468881492.661,edge1,2
7844.35,0,9,12.77,61,1761468882492.113,edge1,2
7961.39,0,7,12.77,60,1761468883496.197,edge1,2
7390.44,0,9,12.78,60,1761468884491.522,edge1,2
6429.34,0,8,12.78,60,1761468885495.635,edge1,2
4444.52,0,7,12.78,61,1761468886496.723,edge1,2
4864.57,0,6,12.68,58,1761468887492.827,edge1,2
5186.04,0,10,12.68,61,1761468888491.939,edge1,2
6009.71,0,11,12.68,59,1761468889492.06,edge1,2
6283.84,0,8,12.71,61,1761468890492.266,edge1,2
7149.96,0,7,12.71,60,1761468891492.596,edge1,2
6393.88,0,11,12.64,59,1761468892491.886,edge1,2
5038.04,0,9,12.64,61,1761468893491.948,edge1,2
4311.96,0,8,12.64,59,1761468894491.935,edge1,2
3569.34,0,7,12.93,61,1761468895492.065,edge1,2
