t_arrive,watch_s,ue_id
21.006,240,ue1
50.239,240,ue2
80.47,240,ue3
110.246,240,ue4
145.449,240,ue5
180.631,240,ue6
210.592,240,ue7
21.006,240,ue1
52.239,240,ue2
131.47,240,ue3
139.246,240,ue4
149.449,240,ue5
150.631,240,ue6
155.592,240,ue7
155.946,240,ue8
162.763,240,ue9
191.601,240,ue10
373.829,240,ue11
421.132,240,ue12
440.152,240,ue13
460.923,240,ue14
507.94,240,ue15
523.728,240,ue16
526.784,240,ue17
600.47,240,ue18
638.881,240,ue19
643.633,240,ue20
646.539,240,ue21
650.515,240,ue22
778.208,240,ue23
782.767,240,ue24
822.034,240,ue25
