withoutEASDF,withEASDFFORWARD,withEASDFBUFFERFIRST,withEASDFBUFFERALL
0.001586,0.001731,0.004581,0.003262
0.001648,0.00189,0.002627,0.002807
0.001726,0.001927,0.001593,0.003492
0.001245,0.001498,0.002519,0.003155
0.001406,0.002411,0.001573,0.003494
0.001859,0.001396,0.002378,0.004367
0.00167,0.001581,0.001791,0.003511
0.001637,0.001408,0.001777,0.004245
0.001487,0.001912,0.00194,0.00405
0.001256,0.001385,0.002212,0.003045
0.001591,0.002118,0.001762,0.003434
0.001385,0.001739,0.00174,0.003675
0.001412,0.002447,0.001817,0.002509
0.001681,0.001344,0.002575,0.00362
0.001463,0.001724,0.002472,0.003382
0.001608,0.001717,0.001871,0.004057
0.001309,0.001675,0.001351,0.00291
0.001548,0.001468,0.001366,0.004059
0.001276,0.002334,0.001445,0.004323
0.001563,0.002088,0.00173,0.0038
0.001335,0.00142,0.003489,0.004133
0.001449,0.001526,0.00171,0.004442
0.001317,0.001859,0.00278,0.003159
0.001413,0.001645,0.001426,0.003139
0.001757,0.001666,0.002228,0.002604
0.001477,0.001887,0.001582,0.003098
0.001309,0.002052,0.001754,0.003351
0.001414,0.001649,0.002447,0.002962
0.001784,0.001727,0.00208,0.002999
0.001409,0.001674,0.001787,0.003167
0.001733,0.002168,0.001991,0.005114
0.001883,0.001265,0.001844,0.004023
0.001526,0.001469,0.001616,0.002841
0.001881,0.001656,0.00164,0.003601
0.001659,0.001604,0.00191,0.004112
0.001592,0.00155,0.001753,0.002878
0.00173,0.001984,0.002655,0.003063
0.001953,0.002064,0.001997,0.003693
0.002143,0.001916,0.002109,0.003439
0.001856,0.001336,0.002491,0.003297
0.001721,0.002404,0.001924,0.003399
0.002007,0.002025,0.001529,0.00481
0.001316,0.002267,0.002154,0.004462
0.001789,0.002421,0.002109,0.006966
0.0011,0.001852,0.002864,0.003418
0.001199,0.002074,0.001946,0.002894
0.001609,0.001626,0.001901,0.003216
0.002118,0.00166,0.001995,0.003807
0.00199,0.00143,0.001752,0.002772
0.001449,0.002079,0.001894,0.003115
0.001519,0.001624,0.002072,0.003014
0.002054,0.001772,0.00227,0.002719
0.00165,0.001851,0.001548,0.002462
0.001555,0.001572,0.001571,0.003318
0.0012,0.002719,0.002201,0.002831
0.001969,0.002284,0.001923,0.003233
0.001593,0.002154,0.002,0.002737
0.0011,0.002602,0.001446,0.003407
0.001427,0.002579,0.001922,0.003053
0.001217,0.002149,0.002154,0.003353
