UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1564.96,304.90,0.00,240
UE2,edge2,1572.99,426.49,0.00,240
UE3,edge1,2417.52,191.04,0.00,240
UE4,edge1,2389.57,201.07,0.00,240
UE5,edge2,1545.45,412.80,0.00,240
UE6,edge2,1836.95,366.00,0.00,240
UE7,edge2,1330.90,439.09,0.00,240
UE8,edge2,1808.35,376.52,0.00,240
UE9,edge1,2083.21,217.41,0.00,240
UE10,edge3,1988.28,229.15,0.00,240
UE11,edge1,2423.78,194.07,0.00,240
UE12,edge1,2005.92,223.97,0.00,240
UE13,edge1,1869.62,245.36,0.00,240
UE14,edge1,2134.17,214.84,0.00,240
UE15,edge1,2165.46,219.01,0.00,240
UE16,edge1,2065.26,218.63,0.00,240
UE17,edge1,1929.35,233.05,0.00,240
UE18,edge2,2025.25,365.80,0.00,240
OVERALL,,1953.17,282.18,0.00,4320
