UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,2250.08,202.65,0.00,240
UE2,edge2,2429.28,195.51,0.00,240
UE3,edge3,1995.71,274.91,0.00,240
UE4,edge2,1719.64,279.44,0.00,240
UE5,edge1,2059.95,218.30,0.00,240
UE6,edge1,1952.95,230.55,0.00,240
UE7,edge2,2969.11,153.52,0.00,240
UE8,edge2,2618.03,186.96,0.00,240
UE9,edge1,1970.26,233.18,0.00,240
UE10,edge1,2057.05,224.16,0.00,240
UE11,edge1,2040.45,233.65,0.00,240
UE12,edge3,1721.07,329.47,0.00,240
UE13,edge1,2417.49,189.15,0.00,240
UE14,edge1,1858.43,246.45,0.00,240
UE15,edge1,1609.34,282.13,0.00,240
UE16,edge1,2329.25,203.38,0.00,240
UE17,edge1,2364.30,198.07,0.00,240
UE18,edge1,1856.83,251.65,0.00,240
UE19,edge3,1324.78,417.64,0.00,240
UE20,edge1,1855.89,248.29,0.00,240
OVERALL,,2069.99,239.95,0.00,4800
