UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge2,1645.19,427.31,0.00,240
UE2,edge1,2012.73,222.49,0.00,240
UE3,edge3,1326.52,428.99,0.00,240
UE4,edge1,2313.09,196.02,0.00,240
UE5,edge2,1415.35,618.72,0.00,240
UE6,edge1,2363.47,201.32,0.00,240
UE7,edge2,1063.99,648.95,0.00,240
UE8,edge2,900.03,756.16,0.00,240
UE9,edge1,2127.77,208.75,0.00,240
UE10,edge3,1524.23,379.05,0.00,240
UE11,edge1,2225.41,210.21,0.00,240
UE12,edge2,929.26,692.08,0.00,240
UE13,edge2,797.94,750.04,0.00,240
UE14,edge1,2475.26,186.49,0.00,240
UE15,edge3,1694.60,320.89,0.00,240
UE16,edge1,2128.17,213.94,0.00,240
UE17,edge2,1073.50,646.60,0.00,236
UE18,edge2,1008.47,690.21,0.00,221
OVERALL,,1615.67,431.90,0.00,4297
