UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1374.17,371.97,0.00,240
UE2,edge2,2104.59,310.22,0.00,240
UE3,edge1,2004.23,226.89,0.00,240
UE4,edge2,1645.56,393.86,0.00,240
UE5,edge2,1550.83,386.57,0.00,240
UE6,edge2,1704.96,329.57,0.00,240
UE7,edge3,2070.13,230.56,0.00,240
UE8,edge2,1643.25,358.40,0.00,240
UE9,edge1,2426.09,192.03,0.00,240
UE10,edge1,2395.34,201.36,0.00,240
UE11,edge1,1832.87,246.40,0.00,240
UE12,edge1,2172.84,210.88,0.00,240
UE13,edge1,2292.43,202.40,0.00,240
UE14,edge1,2250.80,205.77,0.00,240
UE15,edge1,1998.83,231.61,0.00,240
UE16,edge2,2344.89,309.69,0.00,240
UE17,edge1,1982.56,236.12,0.00,240
UE18,edge1,1687.90,269.74,0.00,240
UE19,edge1,1849.74,243.70,0.00,240
UE20,edge1,2083.62,218.02,0.00,240
OVERALL,,1970.78,268.79,0.00,4800
