UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,846.29,1539.69,0.00,240
UE2,edge1,2489.60,185.06,0.00,240
UE3,edge2,1289.05,658.27,0.00,240
UE4,edge3,718.96,1870.09,0.00,219
UE5,edge2,1276.49,732.39,0.00,240
UE6,edge2,1179.72,762.16,0.00,240
UE7,edge2,827.82,835.97,0.00,240
UE8,edge3,276.84,2277.07,0.00,179
UE9,edge3,221.60,2499.73,0.00,161
UE10,edge3,207.85,2569.28,0.00,153
UE11,edge2,990.34,821.42,0.00,240
UE12,edge2,1035.39,740.65,0.00,240
UE13,edge1,2546.01,182.41,0.00,240
UE14,edge2,1471.97,742.51,0.00,240
UE15,edge3,167.88,2908.21,0.00,113
UE16,edge1,2420.29,193.03,0.00,240
UE17,edge3,163.76,2798.50,0.00,110
UE18,edge3,183.61,3202.33,0.00,92
UE19,edge3,166.74,2874.26,0.00,98
UE20,edge3,144.12,3418.36,0.00,79
OVERALL,,1114.88,1266.90,0.00,3844
