UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,762.34,1183.85,0.00,240
UE2,edge2,2270.60,317.48,0.00,240
UE3,edge1,2401.19,192.72,0.00,240
UE4,edge3,690.06,1429.82,0.00,240
UE5,edge2,1691.82,404.75,0.00,240
UE6,edge1,2096.55,215.60,0.00,240
UE7,edge3,312.75,1729.97,0.00,240
UE8,edge2,1307.25,534.52,0.00,240
UE9,edge1,2161.35,207.99,0.00,240
UE10,edge3,265.92,1888.29,0.00,240
UE11,edge2,1412.06,494.29,0.00,240
UE12,edge1,2186.99,205.50,0.00,240
UE13,edge3,291.79,1786.46,0.00,240
UE14,edge2,1632.48,439.19,0.00,240
UE15,edge1,2161.36,210.43,0.00,240
UE16,edge3,411.64,1646.06,0.00,240
UE17,edge2,1301.34,506.83,0.00,240
UE18,edge1,2056.10,219.21,0.00,240
UE19,edge3,551.29,1564.11,0.00,240
UE20,edge2,1482.81,462.02,0.00,240
OVERALL,,1372.38,781.95,0.00,4800
