UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,2412.83,189.74,0.00,240
UE2,edge1,2175.02,211.45,0.00,240
UE3,edge3,275.13,2027.06,0.00,240
UE4,edge3,312.19,2055.61,0.00,254
UE5,edge1,2221.92,206.36,0.00,240
UE6,edge1,2200.85,209.04,0.00,240
UE7,edge2,1093.29,783.96,0.00,240
UE8,edge3,1875.96,650.54,0.00,295
UE9,edge3,1061.38,1169.24,0.00,312
UE10,edge3,976.07,1451.97,0.00,322
UE11,edge2,701.88,795.91,0.00,240
UE12,edge1,2245.93,204.23,0.00,240
UE13,edge2,1032.25,776.22,0.00,240
UE14,edge2,989.66,768.50,0.00,240
UE15,edge3,697.22,1499.79,0.00,363
UE16,edge1,2116.48,211.93,0.00,240
UE17,edge3,522.94,1795.76,0.00,366
UE18,edge3,502.15,1892.42,0.00,380
OVERALL,,1237.86,1013.67,0.00,4932
