UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,374.10,3953.24,0.00,240
UE2,edge3,313.16,3884.49,0.00,240
UE3,edge3,216.31,4211.66,0.00,240
UE4,edge3,117.42,4741.41,0.00,240
UE5,edge3,110.25,4864.16,0.00,240
UE6,edge3,107.33,4884.81,0.00,240
UE7,edge3,113.49,5186.77,0.00,240
UE8,edge3,99.38,6037.24,0.00,137
UE9,edge3,100.85,5033.86,0.00,240
UE10,edge3,108.13,4742.73,0.00,240
UE11,edge3,124.57,5102.38,0.00,240
UE12,edge3,112.28,4889.27,0.00,240
UE13,edge3,104.11,4811.77,0.00,240
UE14,edge3,96.70,5945.66,0.00,43
UE15,edge3,184.97,4909.17,0.00,240
UE16,edge3,172.30,4875.43,0.00,240
UE17,edge3,109.24,4748.69,0.00,240
UE18,edge3,130.51,4743.80,0.00,240
OVERALL,,153.62,4781.80,0.00,4020
