UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,590.62,1230.21,0.00,288
UE2,edge2,2992.72,168.23,0.00,294
UE3,edge2,2915.05,157.06,0.00,370
UE4,edge2,3851.12,140.64,0.00,33
UE5,edge1,1850.30,247.16,0.00,396
UE6,edge2,2204.11,400.23,0.00,484
UE7,edge3,318.52,1573.29,0.00,127
UE8,edge2,3425.13,181.97,0.00,5
UE9,edge1,1583.22,287.37,0.00,141
UE10,edge3,153.79,3657.44,0.00,221
UE11,edge1,2144.08,300.48,0.00,2
UE12,edge3,164.70,3223.76,0.00,401
UE13,edge1,1732.46,261.32,0.00,409
UE14,edge2,1864.66,251.28,0.00,130
UE15,edge2,2076.53,485.02,0.00,268
UE16,edge3,156.60,3290.79,0.00,346
UE17,edge2,1825.61,590.41,0.00,223
UE18,edge3,222.42,2894.02,0.00,418
UE19,edge1,1534.89,338.87,0.00,37
UE20,edge2,2759.24,303.15,0.00,597
UE21,edge3,104.21,4890.69,0.00,118
UE22,edge2,2021.54,340.44,0.00,714
UE23,edge2,2190.05,314.49,0.00,812
UE24,edge1,2068.22,222.20,0.00,214
UE25,edge3,115.28,4270.96,0.00,158
UE26,edge1,1760.13,254.87,0.00,369
UE27,edge2,398.19,1309.41,0.00,65
UE28,edge2,818.93,973.67,0.00,93
UE29,edge3,194.30,2989.77,0.00,352
UE30,edge3,83.79,6379.24,0.00,68
OVERALL,,1560.96,1177.21,0.00,8153
