UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,1857.83,254.86,0.00,213
UE2,edge2,2665.69,195.25,0.00,153
UE3,edge3,942.93,531.59,0.00,227
UE4,edge1,2014.80,230.23,0.00,229
UE5,edge2,3038.71,173.83,0.00,56
UE6,edge2,2849.17,161.54,0.00,126
UE7,edge1,1692.60,273.59,0.00,797
UE8,edge2,3332.70,137.44,0.00,102
UE9,edge2,2059.16,285.23,0.00,279
UE10,edge1,1510.91,303.53,0.00,96
UE11,edge2,1924.15,284.04,0.00,191
UE12,edge2,1416.24,356.27,0.00,65
UE13,edge1,1560.91,291.67,0.00,271
UE14,edge1,1544.55,304.71,0.00,140
UE15,edge2,2469.06,206.29,0.00,959
UE16,edge2,1873.08,269.74,0.00,79
UE17,edge2,1705.70,354.36,0.00,219
UE18,edge1,1619.11,292.09,0.00,151
UE19,edge1,1314.71,345.75,0.00,99
UE20,edge1,1332.89,341.61,0.00,113
UE21,edge1,1405.08,325.86,0.00,375
UE22,edge1,1406.72,331.08,0.00,111
UE23,edge2,1220.86,535.41,0.00,65
UE24,edge2,1029.68,500.39,0.00,82
UE25,edge3,778.39,612.09,0.00,139
UE26,edge1,1618.64,293.40,0.00,315
UE27,edge1,1931.63,242.41,0.00,415
UE28,edge2,2027.35,246.99,0.00,904
UE29,edge1,1909.94,299.93,0.00,34
UE30,edge1,1728.68,262.70,0.00,269
UE31,edge2,1581.73,306.05,0.00,360
UE32,edge2,2972.46,184.55,0.00,33
UE33,edge3,888.58,557.79,0.00,281
UE34,edge2,3128.43,152.64,0.00,1252
OVERALL,,1833.91,307.20,0.00,9200
