UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,934.84,535.29,0.00,213
UE2,edge2,2255.84,236.13,0.00,153
UE3,edge1,1695.20,271.29,0.00,227
UE4,edge2,2044.84,283.26,0.00,229
UE5,edge2,2327.59,214.82,0.00,56
UE6,edge2,1406.00,432.53,0.00,126
UE7,edge2,1874.60,302.30,0.00,797
UE8,edge2,1573.78,338.90,0.00,102
UE9,edge2,1313.28,419.40,0.00,279
UE10,edge1,1840.44,254.40,0.00,96
UE11,edge1,1577.27,299.12,0.00,191
UE12,edge1,1352.31,360.96,0.00,65
UE13,edge2,1147.67,496.00,0.00,271
UE14,edge1,1625.28,287.85,0.00,140
UE15,edge1,1788.26,256.71,0.00,959
UE16,edge1,1695.76,284.89,0.00,79
UE17,edge1,1509.67,307.02,0.00,219
UE18,edge1,1539.21,306.48,0.00,151
UE19,edge1,1251.23,364.77,0.00,99
UE20,edge2,1245.13,540.40,0.00,113
UE21,edge2,1890.44,305.76,0.00,375
UE22,edge2,1037.24,560.95,0.00,111
UE23,edge1,1636.51,296.44,0.00,65
UE24,edge1,1311.90,375.07,0.00,82
UE25,edge1,1634.59,291.42,0.00,139
UE26,edge1,1801.13,257.67,0.00,315
UE27,edge2,2559.87,213.47,0.00,415
UE28,edge2,2509.20,210.99,0.00,904
UE29,edge1,2196.00,254.53,0.00,34
UE30,edge1,1781.10,261.08,0.00,269
UE31,edge2,2360.05,224.40,0.00,360
UE32,edge2,1133.36,511.45,0.00,33
UE33,edge1,2060.02,226.04,0.00,281
UE34,edge1,1832.61,246.29,0.00,1252
OVERALL,,1698.30,324.36,0.00,9200
