UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1103.20,441.43,0.00,107
UE2,edge2,3387.41,140.16,0.00,83
UE3,edge1,1598.80,281.10,0.00,335
UE4,edge3,1164.24,499.41,0.00,25
UE5,edge2,2467.21,229.62,0.00,18
UE6,edge1,1699.03,270.10,0.00,562
UE7,edge3,1132.45,472.20,0.00,73
UE8,edge2,3981.98,123.99,0.00,62
UE9,edge1,1721.19,265.18,0.00,509
UE10,edge3,565.36,961.34,0.00,293
UE11,edge2,2491.21,204.75,0.00,285
UE12,edge1,1678.34,268.98,0.00,233
UE13,edge3,402.90,1299.25,0.00,49
UE14,edge2,1985.98,243.64,0.00,228
UE15,edge1,2218.66,226.92,0.00,64
UE16,edge3,835.62,731.91,0.00,429
UE17,edge2,3549.87,136.26,0.00,173
OVERALL,,1707.10,389.05,0.00,3528
