UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1089.28,621.94,0.00,107
UE2,edge3,400.23,1248.66,0.00,83
UE3,edge3,262.73,3242.20,0.00,335
UE4,edge3,306.27,1809.77,0.00,25
UE5,edge3,448.46,1646.63,0.00,18
UE6,edge3,198.91,3202.86,0.00,562
UE7,edge3,208.22,3114.52,0.00,73
UE8,edge3,121.04,4635.47,0.00,62
UE9,edge3,220.53,3368.75,0.00,509
UE10,edge3,111.30,4783.04,0.00,293
UE11,edge3,105.04,4826.11,0.00,285
UE12,edge3,92.47,5238.86,0.00,233
UE13,edge3,76.61,7094.81,0.00,49
UE14,edge3,95.15,5186.15,0.00,228
UE15,edge3,80.92,6893.74,0.00,64
UE16,edge3,182.79,3575.78,0.00,429
UE17,edge3,89.53,5512.92,0.00,173
OVERALL,,200.93,3916.45,0.00,3528
