UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,846.29,1539.69,0.00,240
UE2,edge1,2489.60,185.06,0.00,240
UE3,edge2,1289.05,658.27,0.00,240
UE4,edge3,755.32,1849.76,0.00,206
UE5,edge2,1276.49,732.39,0.00,240
UE6,edge2,1179.72,762.16,0.00,240
UE7,edge2,827.82,835.97,0.00,240
UE8,edge3,281.94,2210.36,0.00,173
UE9,edge3,225.83,2430.82,0.00,154
UE10,edge3,211.55,2553.86,0.00,143
UE11,edge2,990.34,821.42,0.00,240
UE12,edge2,1035.39,740.65,0.00,240
UE13,edge1,2546.01,182.41,0.00,240
UE14,edge2,1471.97,742.51,0.00,240
UE15,edge3,168.10,2902.25,0.00,104
UE16,edge1,2420.29,193.03,0.00,240
UE17,edge3,163.59,2784.42,0.00,100
UE18,edge3,185.31,3368.70,0.00,79
UE19,edge3,166.70,3006.05,0.00,84
UE20,edge3,147.15,3427.55,0.00,71
OVERALL,,1137.95,1230.61,0.00,3754
