UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,969.66,1015.79,0.00,240
UE2,edge2,2864.97,278.38,0.00,240
UE3,edge1,2428.10,188.26,0.00,240
UE4,edge3,722.90,1237.27,0.00,240
UE5,edge2,1838.01,361.22,0.00,240
UE6,edge1,2261.27,205.78,0.00,240
UE7,edge3,537.87,1287.49,0.00,240
UE8,edge2,1453.31,373.63,0.00,240
UE9,edge1,1787.09,248.66,0.00,240
UE10,edge3,318.85,1560.02,0.00,215
UE11,edge2,1833.15,340.64,0.00,240
UE12,edge1,1885.58,239.24,0.00,240
UE13,edge3,393.65,1395.04,0.00,206
UE14,edge2,1961.95,345.85,0.00,240
UE15,edge1,2420.72,196.98,0.00,240
UE16,edge3,388.86,1436.71,0.00,180
UE17,edge2,1821.16,354.45,0.00,240
UE18,edge1,2070.78,214.85,0.00,240
OVERALL,,1586.58,603.34,0.00,4201
