UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,408.45,4271.49,0.00,240
UE2,edge3,317.98,4276.38,0.00,240
UE3,edge3,203.81,4770.51,0.00,168
UE4,edge3,123.13,4887.09,0.00,240
UE5,edge3,103.08,5053.49,0.00,240
UE6,edge3,104.15,5163.39,0.00,240
UE7,edge3,150.23,4117.62,0.00,43
UE8,edge3,100.61,5262.30,0.00,240
UE9,edge3,106.70,5032.16,0.00,240
UE10,edge3,101.14,5119.75,0.00,240
UE11,edge3,103.66,5240.42,0.00,240
UE12,edge3,104.41,5122.17,0.00,240
UE13,edge3,104.87,5180.18,0.00,240
UE14,edge3,99.65,5008.06,0.00,240
UE15,edge3,105.73,5045.09,0.00,240
UE16,edge3,107.94,5025.59,0.00,240
UE17,edge3,90.59,6074.91,0.00,156
UE18,edge3,125.96,4932.17,0.00,240
UE19,edge3,75.24,7902.00,0.00,37
UE20,edge3,165.92,4835.64,0.00,240
OVERALL,,142.70,5015.99,0.00,4244
