UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,2542.70,193.07,0.00,240
UE2,edge2,8272.21,59.88,0.00,240
UE3,edge1,6545.29,102.64,0.00,240
UE4,edge1,6260.11,109.56,0.00,240
UE5,edge1,6438.77,96.95,0.00,240
UE6,edge1,7906.07,83.13,0.00,240
UE7,edge1,7138.45,88.70,0.00,240
UE8,edge1,5684.10,110.47,0.00,240
UE9,edge1,6796.24,94.30,0.00,240
UE10,edge1,11914.88,36.34,0.00,240
UE11,edge2,4690.37,136.98,0.00,240
UE12,edge1,6835.51,92.98,0.00,240
UE13,edge2,2216.28,254.92,0.00,240
UE14,edge1,8597.88,69.29,0.00,240
UE15,edge1,5955.03,99.61,0.00,240
UE16,edge1,9309.22,57.94,0.00,240
UE17,edge2,2840.62,222.52,0.00,240
UE18,edge2,8309.37,61.61,0.00,240
OVERALL,,6569.62,109.49,0.00,4320
