UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,7778.05,94.18,0.00,240
UE2,edge2,7871.44,63.66,0.00,240
UE3,edge3,2454.78,189.22,0.00,240
UE4,edge1,9004.24,88.53,0.00,240
UE5,edge1,6104.52,120.55,0.00,240
UE6,edge1,4695.05,130.67,0.00,240
UE7,edge1,6478.66,106.75,0.00,240
UE8,edge2,4617.21,160.59,0.00,240
UE9,edge2,3222.51,226.48,0.00,240
UE10,edge1,3366.16,156.20,0.00,240
UE11,edge1,3657.60,162.89,0.00,240
UE12,edge1,11879.22,37.02,0.00,240
UE13,edge1,3884.62,135.79,0.00,240
UE14,edge2,6838.22,95.10,0.00,240
UE15,edge1,9713.27,57.77,0.00,240
UE16,edge1,5403.43,107.39,0.00,240
UE17,edge1,10885.44,44.18,0.00,240
UE18,edge1,5985.16,106.37,0.00,240
OVERALL,,6324.42,115.74,0.00,4320
