UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,4448.20,180.76,0.00,240
UE2,231.06,2213.28,0.00,240
UE3,231.03,2276.35,0.00,230
UE4,212.35,2381.03,0.00,216
UE5,4433.78,156.30,0.00,240
UE6,10151.23,47.89,0.00,240
UE7,197.76,2647.26,0.00,182
UE8,12218.39,35.63,0.00,240
UE9,206.34,2419.95,0.00,191
UE10,11650.95,36.92,0.00,240
UE11,178.23,2704.48,0.00,161
UE12,8043.87,64.01,0.00,240
UE13,6342.30,161.69,0.00,259
UE14,5096.10,247.48,0.00,284
UE15,202.97,2516.70,0.00,181
UE16,11441.84,40.92,0.00,240
UE17,161.64,2966.60,0.00,123
UE18,233.10,2452.04,0.00,185
OVERALL,4685.00,1136.74,0.00,3932
