UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,10555.14,48.32,0.00,240
UE2,edge2,5544.14,119.97,0.00,240
UE3,edge3,2316.57,199.78,0.00,240
UE4,edge1,9132.62,80.38,0.00,240
UE5,edge1,5704.12,133.21,0.00,240
UE6,edge1,9667.35,55.56,0.00,240
UE7,edge1,4673.17,143.79,0.00,240
UE8,edge2,6528.08,100.12,0.00,240
UE9,edge1,10192.28,46.70,0.00,240
UE10,edge1,3865.02,156.86,0.00,240
UE11,edge2,6044.45,105.24,0.00,240
UE12,edge2,4868.21,146.20,0.00,240
UE13,edge1,4526.35,139.46,0.00,240
UE14,edge1,9505.31,61.12,0.00,240
UE15,edge1,6408.19,88.06,0.00,240
UE16,edge1,5860.53,88.96,0.00,240
UE17,edge1,8388.15,71.42,0.00,240
UE18,edge1,8361.87,72.36,0.00,240
UE19,edge2,8211.97,63.72,0.00,240
UE20,edge1,9281.49,57.09,0.00,240
OVERALL,,6981.75,98.92,0.00,4800
