UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,672.74,1424.05,0.00,240
UE2,edge3,449.39,1892.35,0.00,240
UE3,edge3,290.00,1896.69,0.00,240
UE4,edge3,245.00,2029.68,0.00,240
UE5,edge1,8974.21,55.25,0.00,240
UE6,edge1,11803.77,37.29,0.00,240
UE7,edge1,8655.99,56.89,0.00,240
UE8,edge1,11150.09,42.16,0.00,240
UE9,edge2,5234.58,128.88,0.00,240
UE10,edge3,260.63,2009.72,0.00,240
UE11,edge2,8314.29,65.66,0.00,240
UE12,edge2,2006.91,239.59,0.00,240
UE13,edge3,281.51,1870.08,0.00,240
UE14,edge2,8704.98,59.73,0.00,240
UE15,edge1,12074.56,38.60,0.00,240
UE16,edge1,12232.76,35.62,0.00,240
UE17,edge3,483.53,1709.51,0.00,240
UE18,edge1,11780.79,38.29,0.00,240
UE19,edge3,560.57,1663.07,0.00,240
UE20,edge1,10695.34,46.18,0.00,240
OVERALL,,5743.58,766.96,0.00,4800
