UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,10977.72,49.12,0.00,240
UE2,edge3,1046.42,1087.23,0.00,240
UE3,edge2,5863.64,165.18,0.00,240
UE4,edge1,7442.86,90.44,0.00,240
UE5,edge3,530.10,1481.04,0.00,240
UE6,edge2,3149.46,206.95,0.00,240
UE7,edge1,7509.94,85.87,0.00,240
UE8,edge3,473.94,1476.95,0.00,240
UE9,edge2,3542.24,228.71,0.00,240
UE10,edge1,7457.56,81.05,0.00,240
UE11,edge3,332.06,1675.69,0.00,240
UE12,edge2,5136.78,163.78,0.00,240
UE13,edge1,8902.76,55.30,0.00,240
UE14,edge3,405.52,1626.32,0.00,240
UE15,edge2,6739.01,136.75,0.00,240
UE16,edge1,12467.13,34.64,0.00,240
UE17,edge3,418.04,1513.18,0.00,240
UE18,edge2,6177.12,125.95,0.00,240
UE19,edge1,7202.80,91.67,0.00,240
UE20,edge3,613.28,1398.35,0.00,240
OVERALL,,4819.42,588.71,0.00,4800
