UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,542.89,3883.70,0.00,240
UE2,edge3,393.54,4391.07,0.00,240
UE3,edge3,183.48,4437.30,0.00,240
UE4,edge3,140.98,4764.49,0.00,181
UE5,edge3,111.79,5211.66,0.00,240
UE6,edge3,100.05,4990.37,0.00,240
UE7,edge3,99.98,5199.59,0.00,240
UE8,edge3,98.66,5147.12,0.00,240
UE9,edge3,104.27,5017.49,0.00,240
UE10,edge3,104.01,5218.80,0.00,240
UE11,edge3,102.94,5064.06,0.00,240
UE12,edge3,101.81,4896.57,0.00,240
UE13,edge3,101.16,5316.99,0.00,28
UE14,edge3,93.62,5880.84,0.00,77
UE15,edge3,103.22,4964.13,0.00,240
UE16,edge3,112.66,4986.68,0.00,240
UE17,edge3,122.02,4969.08,0.00,240
UE18,edge3,336.53,4939.80,0.00,240
UE19,edge3,220.88,4884.66,0.00,240
UE20,edge3,115.56,4777.88,0.00,240
OVERALL,,170.54,4896.76,0.00,4366
