UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1759.75,648.01,0.00,240
UE2,edge1,11657.57,37.97,0.00,240
UE3,edge2,1685.42,758.79,0.00,240
UE4,edge2,2525.78,764.69,0.00,240
UE5,edge2,1081.19,830.33,0.00,240
UE6,edge3,918.06,1075.62,0.00,240
UE7,edge2,1132.87,867.81,0.00,240
UE8,edge1,12128.06,35.90,0.00,240
UE9,edge2,1856.62,821.70,0.00,240
UE10,edge2,1629.72,855.23,0.00,240
UE11,edge1,11793.69,37.60,0.00,240
UE12,edge1,11798.41,37.80,0.00,240
UE13,edge3,375.70,1364.93,0.00,210
UE14,edge3,352.58,1502.68,0.00,186
UE15,edge3,345.32,1455.67,0.00,183
UE16,edge2,3496.28,638.83,0.00,234
UE17,edge2,3262.40,641.76,0.00,224
UE18,edge3,310.35,1599.75,0.00,148
OVERALL,,3983.92,734.98,0.00,4065
