UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,948.75,1014.34,0.00,240
UE2,edge2,7358.00,93.87,0.00,240
UE3,edge1,12625.31,34.17,0.00,240
UE4,edge3,763.73,1356.43,0.00,240
UE5,edge2,4141.13,193.95,0.00,240
UE6,edge1,8815.40,68.09,0.00,240
UE7,edge3,378.34,1336.00,0.00,240
UE8,edge2,2220.33,296.98,0.00,240
UE9,edge1,8221.47,64.63,0.00,240
UE10,edge3,371.45,1370.96,0.00,240
UE11,edge2,4320.57,173.55,0.00,240
UE12,edge1,10289.38,46.39,0.00,240
UE13,edge3,651.69,1306.37,0.00,240
UE14,edge2,5903.43,130.70,0.00,240
UE15,edge1,10318.96,47.19,0.00,240
UE16,edge3,1042.13,1149.45,0.00,240
UE17,edge2,2946.33,218.99,0.00,240
UE18,edge1,9708.76,52.66,0.00,240
OVERALL,,5056.95,497.48,0.00,4320
