UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,3715.67,238.83,0.00,240
UE2,12256.30,35.12,0.00,240
UE3,1166.39,1014.64,0.00,240
UE4,3760.13,314.33,0.00,240
UE5,9810.33,49.79,0.00,240
UE6,750.17,1299.92,0.00,240
UE7,2258.10,335.39,0.00,240
UE8,12459.60,35.17,0.00,240
UE9,424.79,1451.02,0.00,240
UE10,3966.90,230.04,0.00,240
UE11,11268.62,40.39,0.00,240
UE12,346.91,1386.59,0.00,240
UE13,5316.93,210.32,0.00,240
UE14,12467.24,34.30,0.00,240
UE15,378.69,1443.36,0.00,209
UE16,5270.80,219.22,0.00,240
UE17,12464.24,34.76,0.00,240
UE18,356.01,1568.71,0.00,173
UE19,4873.63,232.59,0.00,240
UE20,12426.57,36.31,0.00,240
OVERALL,5899.94,489.31,0.00,4702
