UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,771.73,1067.60,0.00,288
UE2,edge2,7156.31,75.95,0.00,294
UE3,edge1,7492.31,64.75,0.00,370
UE4,edge3,717.60,859.13,0.00,33
UE5,edge2,3787.60,162.95,0.00,396
UE6,edge1,5511.14,96.37,0.00,484
UE7,edge3,364.46,1378.02,0.00,127
UE8,edge2,2807.63,208.25,0.00,5
UE9,edge1,6120.57,97.16,0.00,141
UE10,edge3,234.15,2197.07,0.00,221
UE11,edge2,5132.05,148.96,0.00,2
UE12,edge1,5713.72,92.36,0.00,401
UE13,edge3,262.67,2169.93,0.00,409
UE14,edge2,7324.89,69.33,0.00,130
UE15,edge1,6273.17,88.05,0.00,268
UE16,edge3,206.13,2300.11,0.00,346
UE17,edge2,4280.02,141.63,0.00,223
UE18,edge1,7261.14,70.07,0.00,418
UE19,edge3,146.81,4539.03,0.00,37
UE20,edge2,6905.26,85.97,0.00,597
UE21,edge1,6574.39,80.07,0.00,118
UE22,edge3,855.97,1259.92,0.00,714
UE23,edge2,5090.31,127.15,0.00,812
UE24,edge1,6604.57,78.99,0.00,214
UE25,edge3,161.97,3196.67,0.00,158
UE26,edge2,2955.54,181.18,0.00,369
UE27,edge1,7161.49,77.19,0.00,65
UE28,edge3,139.43,3548.11,0.00,93
UE29,edge2,6918.46,78.53,0.00,352
UE30,edge1,8058.49,62.88,0.00,68
OVERALL,,4293.77,634.13,0.00,8153
