UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,485.25,2488.15,0.00,135
UE2,edge3,267.72,3762.39,0.00,125
UE3,edge3,139.03,4675.68,0.00,135
UE4,edge3,146.61,3843.85,0.00,33
UE5,edge3,89.37,5846.65,0.00,96
UE6,edge3,93.21,6448.05,0.00,484
UE7,edge3,61.71,9592.39,0.00,127
UE8,edge3,74.49,7577.32,0.00,5
UE9,edge3,62.80,9229.12,0.00,141
UE10,edge3,66.40,8254.86,0.00,112
UE11,edge3,91.25,6649.52,0.00,2
UE12,edge3,77.50,7050.55,0.00,401
UE13,edge3,87.42,7115.56,0.00,409
UE14,edge3,49.10,10376.47,0.00,130
UE15,edge3,71.09,8319.29,0.00,268
UE16,edge3,69.63,7511.22,0.00,346
UE17,edge3,55.37,9143.57,0.00,223
UE18,edge3,83.61,6788.54,0.00,418
UE19,edge3,43.63,12474.25,0.00,37
UE20,edge3,45.83,10911.88,0.00,120
UE21,edge3,44.97,13825.58,0.00,40
UE22,edge3,261.87,4299.86,0.00,714
UE23,edge3,359.06,3795.80,0.00,812
UE24,edge3,61.38,8510.00,0.00,214
UE25,edge3,52.91,9846.58,0.00,158
UE26,edge3,80.10,6927.74,0.00,369
UE27,edge3,41.53,15272.95,0.00,8
UE28,edge3,45.04,11770.66,0.00,93
UE29,edge3,77.50,7399.62,0.00,352
UE30,edge3,43.48,13644.08,0.00,68
OVERALL,,142.64,6797.27,0.00,6575
