UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,10885.07,39.50,0.00,107
UE2,edge2,7617.89,67.88,0.00,83
UE3,edge3,1038.53,498.45,0.00,335
UE4,edge1,13012.49,38.87,0.00,25
UE5,edge1,12949.78,41.79,0.00,18
UE6,edge1,10352.71,44.15,0.00,562
UE7,edge2,7806.33,67.08,0.00,73
UE8,edge1,11848.87,38.92,0.00,62
UE9,edge1,10422.46,43.92,0.00,509
UE10,edge1,10336.57,46.87,0.00,293
UE11,edge2,5031.83,123.50,0.00,285
UE12,edge2,5749.74,108.90,0.00,233
UE13,edge1,12325.08,38.98,0.00,49
UE14,edge1,8111.67,60.15,0.00,228
UE15,edge1,5696.11,95.68,0.00,64
UE16,edge1,9986.89,48.16,0.00,429
UE17,edge1,9106.00,53.58,0.00,173
OVERALL,,8957.53,85.67,0.00,3528
