UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,6246.01,78.66,0.00,107
UE2,edge1,6591.23,88.64,0.00,83
UE3,edge2,5929.82,101.28,0.00,335
UE4,edge1,7395.67,81.31,0.00,25
UE5,edge3,1328.17,509.66,0.00,18
UE6,edge3,457.88,1352.80,0.00,562
UE7,edge2,7935.06,69.73,0.00,73
UE8,edge2,4381.01,138.39,0.00,62
UE9,edge3,469.52,1490.17,0.00,509
UE10,edge2,6250.83,106.07,0.00,293
UE11,edge3,232.53,2012.69,0.00,285
UE12,edge1,5345.30,98.32,0.00,233
UE13,edge3,174.19,3055.49,0.00,49
UE14,edge2,6969.55,69.37,0.00,228
UE15,edge1,6062.52,92.70,0.00,64
UE16,edge1,6477.91,82.62,0.00,429
UE17,edge1,6670.17,79.07,0.00,173
OVERALL,,3917.14,692.05,0.00,3528
