UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1284.88,407.79,0.00,107
UE2,edge2,7146.44,70.86,0.00,83
UE3,edge1,6878.80,77.25,0.00,335
UE4,edge2,9015.12,64.16,0.00,25
UE5,edge2,8790.57,68.99,0.00,18
UE7,edge1,7106.13,77.83,0.00,73
UE8,edge1,7483.20,79.08,0.00,62
UE9,edge1,6556.17,79.40,0.00,509
UE11,edge1,5322.62,100.67,0.00,285
UE12,edge1,5175.05,102.15,0.00,233
UE13,edge1,6519.68,90.50,0.00,49
UE16,edge1,6760.51,76.64,0.00,429
OVERALL,,6503.26,107.94,0.00,2208
