UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,2474.93,194.92,0.00,253
UE2,edge2,6582.48,90.39,0.00,240
UE3,edge1,11571.18,43.34,0.00,242
UE4,edge1,8211.93,90.31,0.00,240
UE5,edge1,5341.28,121.89,0.00,240
UE6,edge1,8719.85,61.49,0.00,240
UE7,edge1,4615.96,134.96,0.00,240
UE8,edge1,7576.63,90.16,0.00,240
UE9,edge1,6463.81,89.17,0.00,240
UE10,edge2,4813.98,126.79,0.00,240
UE11,edge1,7362.80,92.07,0.00,240
UE12,edge1,6325.68,90.17,0.00,240
UE13,edge1,6571.31,108.89,0.00,240
UE14,edge1,7998.03,78.83,0.00,240
UE15,edge1,8812.67,60.99,0.00,240
UE16,edge1,5900.56,105.48,0.00,240
UE17,edge1,5562.77,123.87,0.00,240
UE18,edge1,8352.72,65.48,0.00,240
OVERALL,,6836.77,98.55,0.00,4335
