UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,6257.89,119.40,0.00,240
UE2,edge2,4344.44,192.66,0.00,240
UE3,edge3,2077.89,256.70,0.00,240
UE4,edge1,5614.37,136.01,0.00,240
UE5,edge1,9747.25,55.94,0.00,240
UE6,edge1,9588.75,53.76,0.00,240
UE7,edge1,3725.17,150.51,0.00,240
UE8,edge1,5323.96,132.01,0.00,240
UE9,edge2,4088.70,160.30,0.00,240
UE10,edge1,5231.80,140.09,0.00,240
UE11,edge2,2590.38,273.44,0.00,240
UE12,edge1,8674.43,60.54,0.00,240
UE13,edge1,7023.05,101.47,0.00,240
UE14,edge2,7993.12,76.24,0.00,240
UE15,edge2,4428.17,175.49,0.00,240
UE16,edge1,7310.22,90.83,0.00,240
UE17,edge1,9548.29,67.54,0.00,240
UE18,edge3,2387.43,195.08,0.00,240
OVERALL,,5886.41,135.44,0.00,4320
