UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,6036.42,96.91,0.00,240
UE2,6653.84,661.54,0.00,306
UE3,146.15,3253.55,0.00,185
UE4,145.53,3528.33,0.00,156
UE5,4088.04,145.35,0.00,240
UE6,124.37,4282.10,0.00,76
UE7,10140.93,46.94,0.00,214
UE8,123.83,3981.05,0.00,77
UE9,143.75,3756.77,0.00,173
UE10,122.53,4090.35,0.00,68
UE11,11576.35,41.51,0.00,167
UE12,11775.54,39.54,0.00,155
UE13,130.01,4253.47,0.00,57
UE14,12138.67,35.89,0.00,131
UE15,6659.72,1865.97,0.00,216
UE16,140.08,3752.92,0.00,156
UE17,4105.10,1243.38,0.00,340
UE18,127.07,4576.51,0.00,40
OVERALL,4990.07,1614.12,0.00,2997
