UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,963.88,938.94,0.00,240
UE2,edge2,7020.92,147.68,0.00,240
UE3,edge1,11897.33,36.59,0.00,240
UE4,edge3,662.52,1323.71,0.00,240
UE5,edge2,2644.06,295.69,0.00,240
UE6,edge1,12366.92,37.03,0.00,240
UE7,edge3,433.11,1370.75,0.00,240
UE8,edge2,4340.66,170.70,0.00,240
UE9,edge1,10782.84,43.68,0.00,240
UE10,edge3,472.24,1440.89,0.00,240
UE11,edge2,3824.71,247.84,0.00,240
UE12,edge1,8435.04,59.59,0.00,240
UE13,edge3,488.94,1302.89,0.00,240
UE14,edge2,2236.22,301.06,0.00,240
UE15,edge1,12304.06,35.88,0.00,240
UE16,edge3,709.04,1138.46,0.00,240
UE17,edge2,2659.14,317.08,0.00,240
UE18,edge1,12206.64,35.60,0.00,240
OVERALL,,5247.13,513.56,0.00,4320
