UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,10977.72,49.12,0.00,240
UE2,1046.42,1087.23,0.00,240
UE3,5863.64,165.18,0.00,240
UE4,7442.86,90.44,0.00,240
UE5,530.10,1481.04,0.00,240
UE6,3149.46,206.95,0.00,240
UE7,7509.94,85.87,0.00,240
UE8,473.94,1476.95,0.00,240
UE9,3542.24,228.71,0.00,240
UE10,7457.56,81.05,0.00,240
UE11,332.06,1675.69,0.00,240
UE12,5136.78,163.78,0.00,240
UE13,8902.76,55.30,0.00,240
UE14,405.52,1626.32,0.00,240
UE15,6739.01,136.75,0.00,240
UE16,12467.13,34.64,0.00,240
UE17,418.04,1513.18,0.00,240
UE18,6177.12,125.95,0.00,240
UE19,7202.80,91.67,0.00,240
UE20,613.28,1398.35,0.00,240
OVERALL,4819.42,588.71,0.00,4800
