UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,516.04,3718.63,0.00,240
UE2,edge3,402.74,3769.16,0.00,240
UE3,edge3,288.79,4353.55,0.00,240
UE4,edge3,155.44,4345.67,0.00,240
UE5,edge3,116.64,4484.12,0.00,240
UE6,edge3,108.97,4954.60,0.00,240
UE7,edge3,104.32,4814.59,0.00,240
UE8,edge3,104.18,4904.51,0.00,240
UE9,edge3,107.22,4959.03,0.00,240
UE10,edge3,105.51,4641.71,0.00,240
UE11,edge3,114.16,4894.92,0.00,240
UE12,edge3,105.81,4738.37,0.00,240
UE13,edge3,109.01,4733.34,0.00,240
UE14,edge3,83.30,6769.14,0.00,40
UE15,edge3,116.05,4663.33,0.00,240
UE16,edge3,110.55,4637.07,0.00,240
UE17,edge3,218.55,4605.22,0.00,240
UE18,edge3,138.92,4551.13,0.00,240
OVERALL,,171.07,4595.95,0.00,4120
