UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,993.47,515.36,0.00,288
UE2,edge2,6451.08,89.82,0.00,294
UE3,edge1,8685.24,55.29,0.00,370
UE4,edge1,12238.83,40.74,0.00,33
UE5,edge1,8731.26,55.10,0.00,396
UE6,edge1,9506.12,49.86,0.00,484
UE7,edge1,8404.88,58.45,0.00,127
UE8,edge1,14080.33,41.95,0.00,5
UE9,edge1,10547.30,46.37,0.00,141
UE10,edge2,5117.23,120.23,0.00,221
UE11,edge1,13484.17,44.88,0.00,2
UE12,edge1,6680.61,114.47,0.00,401
UE13,edge1,8260.01,65.20,0.00,409
UE14,edge1,9787.03,51.77,0.00,130
UE15,edge1,6345.36,116.93,0.00,268
UE16,edge1,4575.91,149.33,0.00,346
UE17,edge1,3781.73,153.62,0.00,223
UE18,edge1,4186.83,146.26,0.00,418
UE19,edge2,7980.72,70.33,0.00,37
UE20,edge1,6250.27,101.81,0.00,597
UE21,edge2,5067.78,127.49,0.00,118
UE22,edge1,7972.08,73.61,0.00,714
UE23,edge1,6846.20,89.36,0.00,812
UE24,edge2,5964.18,106.46,0.00,214
UE25,edge2,7460.46,67.61,0.00,158
UE26,edge1,7031.32,98.01,0.00,369
UE27,edge1,5356.80,112.95,0.00,65
UE28,edge1,6537.87,77.53,0.00,93
UE29,edge1,8626.54,63.88,0.00,352
UE30,edge1,2562.63,214.58,0.00,68
OVERALL,,7317.14,103.97,0.00,8153
