t_arrive,watch_s,ue_id
19.321,288,ue1
40.356,294,ue2
59.802,370,ue3
90.702,33,ue4
115.019,396,ue5
131.637,484,ue6
143.764,127,ue7
165.191,5,ue8
181.037,141,ue9
220.649,221,ue10
271.904,2,ue11
284.572,401,ue12
334.575,409,ue13
356.616,130,ue14
370.644,268,ue15
396.362,346,ue16
411.496,223,ue17
423.607,418,ue18
435.39,37,ue19
451.578,597,ue20
470.14,118,ue21
500.213,714,ue22
511.932,812,ue23
522.5,214,ue24
533.379,158,ue25
544.344,369,ue26
556.566,65,ue27
567.038,93,ue28
578.718,352,ue29
591.411,68,ue30
