t_arrive,watch_s,ue_id
10.503,240,ue1
26.12,240,ue2
40.735,240,ue3
55.623,240,ue4
70.725,240,ue5
79.315,240,ue6
89.796,240,ue7
97.973,240,ue8
108.381,240,ue9
120.8,240,ue10
136.915,240,ue11
148.566,240,ue12
160.076,240,ue13
172.461,240,ue14
184.97,240,ue15
196.864,240,ue16
208.392,240,ue17
220.235,240,ue18
232.441,240,ue19
244.817,240,ue20
256.269,240,ue21
268.258,240,ue22
280.104,240,ue23
292.383,240,ue24
304.017,240,ue25
316.862,240,ue26
328.574,240,ue27
340.326,240,ue28
354.3,240,ue29
366.051,240,ue30
378.231,240,ue31
390.209,240,ue32
404.908,240,ue33
416.917,240,ue34
428.317,240,ue35
440.25,240,ue36
454.717,240,ue37
470.488,240,ue38
484.494,240,ue39
691.21,240,ue40
712.404,240,ue41
720.374,240,ue42
755.87,240,ue43
775.785,240,ue44
793.615,240,ue45
809.169,240,ue46
814.481,240,ue47
826.642,240,ue48
858.245,240,ue49
881.27,240,ue50
889.76,240,ue51
