t_arrive,watch_s,ue_id
11.882,213,ue1
31.29,153,ue2
42.591,227,ue3
54.328,229,ue4
65.978,56,ue5
84.611,126,ue6
98.878,797,ue7
116.528,102,ue8
129.773,279,ue9
157.919,96,ue10
175.845,191,ue11
187.887,65,ue12
199.677,271,ue13
210.696,140,ue14
222.645,959,ue15
236.895,79,ue16
250.564,219,ue17
262.535,151,ue18
272.627,99,ue19
283.441,113,ue20
295.857,375,ue21
306.351,111,ue22
317.424,65,ue23
328.731,82,ue24
340.765,139,ue25
364.825,315,ue26
418.05,415,ue27
432.15,904,ue28
453.463,34,ue29
476.282,269,ue30
499.774,360,ue31
520.213,33,ue32
558.884,281,ue33
575.74,1252,ue34
